1,ACCOUNTING
2,ART
3,BA
4,BIED
5,BIMS
6,BIOLOGY
7,CHEMISTRY
8,CI
9,CIS
10,COMMUNICATION
11,COMPUTER SCIENCE
12,DEVS
13,ECED
14,ECON
15,ENGLISH
16,FINANCE
17,GEOS
18,GREEK
19,HF
20,HISTORY
21,IT
22,KINESIOLOGY
23,MATH
24,MGMT
25,MKTG
26,MUED
27,MULTIMEDIA
28,MUS
29,MUSIC APPLIED
30,MUSIC LITERATURE
31,MUSIC THEORY
32,NURSING
33,PHILOSOPHY
34,PHYSICS
35,POLITICAL SCIENCE
36,PREP
37,PSYCHOLOGY
38,READING
39,RELIGION
40,SERVANT LEADERSHIP
41,SOCIOLOGY
42,SPANISH
43,THEATRE
44,TOUR
